City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Sjovegan,68,NO,1547319000,100,68.87,17.85,21.2,21.92
Port Elizabeth,1,US,1547315760,31,39.31,-74.98,33.08,4.7
Fortuna,0,ES,1547319600,68,38.18,-1.13,42.8,5.82
Cape Town,75,ZA,1547316000,60,-33.93,18.42,68.0,13.87
Viesca,5,MX,1547318400,52,25.34,-102.81,66.2,3.94
Simao,0,CN,1547321222,85,22.76,100.79,46.07,1.81
Nalut,0,LY,1547321223,72,31.86,10.98,38.82,6.06
La Asuncion,76,EC,1547321223,97,-1.64,-78.74,53.63,1.92
Tasiilaq,75,GL,1547315400,67,65.61,-37.64,17.6,16.11
Maragogi,80,BR,1547321224,95,-9.01,-35.22,77.84,10.2
Zhezkazgan,56,KZ,1547321224,76,47.8,67.71,4.67,7.96
Qasigiannguit,40,GL,1547319000,48,68.82,-51.19,-5.81,8.05
Walvis Bay,0,NA,1547316000,72,-22.95,14.51,68.0,14.99
Pevek,0,RU,1547321035,58,69.7,170.27,-19.73,6.4
Clyde River,20,CA,1547316000,73,70.47,-68.59,-29.21,6.93
Shingu,8,JP,1547320931,100,33.72,135.99,47.82,8.41
Kenai,40,US,1547319360,72,60.55,-151.26,3.92,9.17
Ternate,75,PH,1547319600,74,14.29,120.72,80.6,4.7
Lata,92,IN,1547320167,100,30.78,78.62,32.75,1.48
Ponta do Sol,68,BR,1547319026,66,-20.63,-46.0,83.33,3.83
Prieska,0,ZA,1547321227,17,-29.67,22.74,78.02,8.75
Bambous Virieux,40,MU,1547319600,74,-20.34,57.76,80.6,12.75
Tazmalt,75,DZ,1547319600,87,36.39,4.4,46.4,11.41
Husavik,68,CA,1547321054,89,50.56,-96.99,15.87,6.62
Broken Hill,0,AU,1547319600,29,-31.97,141.45,75.2,21.92
Aklavik,40,CA,1547316360,68,68.22,-135.01,-20.21,9.17
Porto Walter,88,BR,1547321228,96,-8.27,-72.74,74.01,3.04
Saint George,75,GR,1547315400,69,39.45,22.34,37.4,0.58
Champerico,5,MX,1547318400,45,16.38,-93.6,84.2,3.04
Grindavik,90,IS,1547319600,100,63.84,-22.43,33.8,4.7
Tumsar,0,IN,1547321229,82,21.38,79.75,60.6,6.62
Altay,20,CN,1547321230,81,47.83,88.13,1.7,2.26
Millau,90,FR,1547319600,93,44.1,3.08,37.4,14.99
Sokoni,56,CD,1547321230,95,-12.89,28.78,69.69,3.94
Saskylakh,0,RU,1547321230,0,71.97,114.09,-53.16,4.72
Richards Bay,0,ZA,1547321231,83,-28.77,32.06,72.62,4.94
Collie,24,AU,1547321231,45,-33.36,116.15,72.39,10.65
Mount Gambier,0,AU,1547316000,87,-37.83,140.78,53.6,10.29
Kruisfontein,0,ZA,1547319653,82,-34.0,24.73,65.6,11.43
Atar,0,MR,1547319210,9,20.52,-13.05,80.45,4.72
Cabo San Lucas,5,MX,1547318520,64,22.89,-109.91,78.8,5.82
Cibeureum,20,ID,1547321232,96,-6.73,106.95,69.24,2.37
Bryansk,76,RU,1547321232,83,53.24,34.37,15.51,10.31
Vila Velha,20,BR,1547319600,78,-3.71,-38.6,82.4,8.05
Yuci,0,CN,1547319600,72,37.68,112.73,12.2,2.24
Ordzhonikidze,68,UA,1547321233,100,44.96,35.36,38.33,5.17
Yaan,12,NG,1547321233,26,7.38,8.57,86.75,6.4
Cockburn Town,68,TC,1547321233,100,21.46,-71.14,78.24,18.25
Kavieng,64,PG,1547321234,100,-2.57,150.8,82.02,11.65
Dunedin,56,NZ,1547319249,96,-45.87,170.5,44.0,3.49
Orchard Homes,90,US,1547319180,91,46.86,-114.05,21.92,2.26
Gibsons,40,CA,1547319600,75,49.4,-123.51,46.4,6.62
Necochea,0,AR,1547321235,67,-38.55,-58.74,81.89,12.77
Jerantut,8,MY,1547321235,99,3.94,102.37,68.93,2.04
Khatanga,48,RU,1547319283,46,71.98,102.47,-28.64,13.44
Soderhamn,20,SE,1547321040,82,61.3,17.06,24.47,2.48
Halifax,75,CA,1547319600,66,44.65,-63.58,14.0,13.87
Yulara,0,AU,1547316000,25,-25.24,130.99,86.0,9.17
Thompson,75,CA,1547319600,78,55.74,-97.86,8.6,11.41
Yeppoon,12,AU,1547319600,78,-23.13,150.74,71.6,6.93
Pontes e Lacerda,56,BR,1547321237,85,-15.23,-59.33,85.4,3.94
Baracoa,92,CU,1547321238,98,20.35,-74.5,77.7,12.21
Puerto del Rosario,20,ES,1547319600,77,28.5,-13.86,64.4,6.93
Hithadhoo,12,MV,1547319198,100,-0.6,73.08,82.02,2.59
Radishchevo,80,RU,1547321238,94,52.85,47.87,29.82,11.99
Auburn,75,US,1547320500,65,32.61,-85.48,56.48,7.4
Saint Anthony,1,US,1547319360,76,43.97,-111.68,17.06,3.36
Constitucion,5,MX,1547318700,38,23.99,-104.67,59.0,4.16
Havelock,90,US,1547319480,62,34.88,-76.9,46.04,9.17
Kon Tum,32,VN,1547321240,98,14.36,108.0,60.2,2.37
Waingapu,12,ID,1547321240,99,-9.65,120.26,73.79,2.93
Chipinge,8,ZW,1547321240,61,-20.19,32.62,81.12,4.38
Chuy,76,UY,1547319304,87,-33.69,-53.46,75.0,13.67
Pathein,56,MM,1547321241,86,16.78,94.73,72.66,6.73
Dwarka,40,IN,1547319600,81,28.58,77.04,51.8,2.24
Tashara,24,RU,1547321241,42,55.52,83.51,-13.43,3.04
Mahibadhoo,88,MV,1547321242,100,3.78,72.97,81.84,12.66
Rabo de Peixe,75,PT,1547317800,82,37.8,-25.58,60.8,13.87
Luoyang,0,CN,1547321242,65,34.66,112.42,21.36,4.94
Pundaguitan,68,PH,1547321243,100,6.37,126.17,79.64,10.98
Terney,0,RU,1547321243,100,45.05,136.61,17.63,7.07
Lagoa,0,PT,1547316000,62,37.14,-8.45,53.6,6.93
Evans,1,US,1547320500,52,40.38,-104.69,42.26,5.17
Bismarck,90,US,1547320500,100,46.81,-100.78,17.06,10.29
Hofn,92,IS,1547319551,100,64.25,-15.21,35.31,10.76
Katsuura,40,JP,1547316000,86,33.93,134.5,39.2,9.17
Lazurne,88,UA,1547321244,92,46.77,34.99,26.0,7.74
Pelym,64,RU,1547321245,79,61.01,62.0,8.4,7.18
Tilichiki,8,RU,1547321245,69,60.47,166.1,-9.96,3.94
Dondo,20,MZ,1547319600,83,-19.62,34.74,84.2,6.85
Eau Claire,90,US,1547320500,66,44.81,-91.5,30.92,10.29
Invermere,48,CA,1547321246,78,50.51,-116.03,16.1,0.58
Along,0,IN,1547321246,49,28.17,94.8,48.36,2.59
Kodiak,90,US,1547318100,100,39.95,-94.76,32.0,12.75
Sitka,76,US,1547319669,89,37.17,-99.65,34.95,18.03
Saint-Joseph,0,FR,1547319600,68,43.56,6.97,46.4,4.7
Mokhsogollokh,12,RU,1547321248,0,61.4,128.95,-28.82,2.37
Glace Bay,90,CA,1547319600,72,46.2,-59.96,14.0,12.75
Kawalu,64,ID,1547321248,99,-7.38,108.21,68.34,2.15
Namibe,0,AO,1547321248,100,-15.19,12.15,75.14,11.54
Minab,36,IR,1547319600,18,27.15,57.07,64.4,2.24
Mahebourg,40,MU,1547316000,78,-20.41,57.7,80.6,14.99
Iqaluit,40,CA,1547318640,67,63.75,-68.52,-23.81,24.16
Nhulunbuy,75,AU,1547319600,94,-12.18,136.78,80.6,3.36
Homer,90,US,1547319180,84,59.64,-151.54,21.02,3.36
Torbay,75,CA,1547316000,93,47.66,-52.73,32.0,12.75
Bagdarin,24,RU,1547321251,25,54.44,113.59,-20.31,2.59
Hambantota,40,LK,1547316600,100,6.12,81.12,77.0,9.17
Havre-Saint-Pierre,90,CA,1547319600,73,50.23,-63.6,26.6,6.93
Ilulissat,75,GL,1547315400,48,69.22,-51.1,-5.81,11.41
Letterkenny,90,IE,1547317800,93,54.95,-7.73,50.0,24.16
Chernyshevskiy,56,RU,1547321252,71,63.01,112.47,-10.86,5.73
Bilibino,12,RU,1547321253,0,68.06,166.44,-28.64,2.26
Pochutla,90,MX,1547315520,66,15.74,-96.47,84.2,3.94
Ben Tre,80,VN,1547321253,70,10.24,106.37,81.3,11.77
Acapulco,5,MX,1547318640,70,16.86,-99.88,84.2,4.7
Hay River,75,CA,1547319600,76,60.82,-115.79,-4.01,9.17
Hoquiam,90,US,1547319180,73,46.98,-123.89,48.02,10.29
Pimentel,44,BR,1547321255,65,-3.7,-45.5,88.19,4.61
Ningxiang,90,CN,1547319600,100,28.28,112.55,39.2,6.71
Carutapera,56,BR,1547321255,88,-1.2,-46.02,81.8,7.4
Glenwood Springs,40,US,1547319360,77,39.55,-107.33,32.0,2.59
Sinnamary,76,GF,1547321256,92,5.38,-52.96,79.86,10.2
Pangnirtung,40,CA,1547316000,67,66.15,-65.72,-27.41,5.82
Lake Havasu City,1,US,1547319360,44,34.47,-114.34,57.2,10.29
Abnub,0,EG,1547319600,62,27.27,31.15,51.8,10.29
Breves,64,BR,1547321257,86,-1.68,-50.48,81.53,3.6
Estelle,90,US,1547320500,65,32.87,-97.01,46.4,20.8
Dawlatabad,0,AF,1547321257,84,36.41,64.91,30.77,7.74
Faanui,80,PF,1547319612,100,-16.48,-151.75,82.34,22.62
Visby,48,SE,1547319000,92,57.64,18.3,28.4,5.82
Aljezur,0,PT,1547321258,100,37.31,-8.8,56.24,7.18
Bambanglipuro,68,ID,1547321258,100,-7.95,110.28,74.46,3.38
Baltoji Voke,90,LT,1547319000,100,54.6,25.2,30.2,5.82
Kavaratti,0,IN,1547321124,100,10.57,72.64,81.84,4.94
Grand Gaube,40,MU,1547319600,74,-20.01,57.66,80.6,12.75
Antsohihy,92,MG,1547321260,99,-14.88,47.99,74.19,4.16
Aksha,0,RU,1547321260,37,50.28,113.29,-12.89,3.04
Plettenberg Bay,0,ZA,1547321260,100,-34.05,23.37,65.87,9.31
Honiara,64,SB,1547321026,100,-9.43,159.96,74.33,2.59
Biak,20,ID,1547321261,100,-0.91,122.88,76.67,1.7
Bon Accord,1,CA,1547319600,79,53.84,-113.41,23.0,3.36
Georgiyevka,76,RU,1547321261,82,52.25,40.45,11.19,11.21
Saint-Philippe,1,CA,1547318100,49,45.36,-73.48,12.38,8.97
Campestre,24,BR,1547321262,79,-21.71,-46.25,82.34,4.16
Chicama,40,PE,1547319600,78,-7.84,-79.15,77.0,13.87
Fairbanks,0,US,1547319780,64,64.84,-147.72,-38.03,4.16
Vestmannaeyjar,90,IS,1547316600,100,63.44,-20.27,37.4,5.82
Kaberamaido,0,UG,1547321263,35,1.76,33.16,76.85,15.68
Tessalit,48,ML,1547321263,15,20.2,1.01,62.09,7.74
Severo-Kurilsk,80,RU,1547321263,99,50.68,156.12,32.07,17.47
Burns Lake,88,CA,1547321264,88,54.23,-125.76,30.0,2.37
Ayagoz,24,KZ,1547321264,56,47.96,80.43,5.3,6.4
Bubaque,0,GW,1547321264,83,11.28,-15.83,84.72,6.62
Ochamchira,88,GE,1547321264,100,42.71,41.47,47.91,5.28
Ojinaga,1,US,1547319300,42,29.56,-104.41,58.64,9.17
Inhambane,40,MZ,1547319600,89,-23.87,35.38,84.2,13.87
Marataizes,0,BR,1547321266,81,-21.04,-40.82,82.52,16.46
San Patricio,68,PY,1547321266,100,-26.98,-56.83,73.65,4.38
Mizdah,0,LY,1547321266,54,31.45,12.98,41.84,17.02
Omboue,64,GA,1547321266,100,-1.57,9.26,79.14,6.96
Luanda,75,AO,1547319600,78,-8.83,13.24,80.6,6.93
Temascalcingo,8,MX,1547321267,56,19.92,-100.0,61.28,3.04
Road Town,40,VG,1547319900,69,18.42,-64.62,82.94,8.05
Sao Filipe,0,CV,1547321268,88,14.9,-24.5,74.64,8.63
Obo,8,CF,1547321268,55,5.39,26.49,76.4,4.38
Saumur,90,FR,1547319600,100,47.26,-0.08,46.4,10.29
Deputatskiy,44,RU,1547321269,0,69.3,139.9,-34.26,2.71
Karasjok,56,NO,1547319000,74,69.47,25.52,32.0,31.09
Gamba,0,CN,1547321269,37,28.28,88.52,-9.29,6.96
Naze,12,NG,1547316000,62,5.43,7.07,87.8,4.7
Aswan,8,EG,1547320836,91,24.09,32.9,56.33,2.71
Mehamn,88,NO,1547319538,90,71.03,27.85,31.71,14.45
Langfang,0,CN,1547319600,78,39.51,116.7,17.6,2.24
Tomatlan,0,MX,1547321270,66,19.93,-105.25,80.72,3.15
Sumisip,68,PH,1547321271,97,12.51,124.37,77.79,11.65
Isla Mujeres,75,MX,1547318460,54,21.23,-86.73,80.6,6.93
Zhuhai,0,CN,1547319600,77,40.71,112.04,5.0,2.24
College,0,US,1547319780,64,64.86,-147.8,-38.03,4.16
Nosy Varika,36,MG,1547321272,100,-20.58,48.53,76.94,5.73
Santa Luzia,75,BR,1547319600,39,-19.77,-43.85,86.0,9.17
Novyy Urengoy,80,RU,1547321236,70,66.08,76.63,-10.01,20.71
Moerai,92,PF,1547321273,100,-22.43,-151.33,76.49,22.73
Griffith,48,AU,1547319600,50,-34.29,146.06,80.6,4.7
Trat,20,TH,1547321274,100,12.25,102.51,80.22,2.93
Milkovo,32,BG,1547319600,47,41.53,24.68,35.6,17.22
Tenkodogo,12,BF,1547321274,24,11.78,-0.37,84.54,6.73
Oranjemund,20,ZA,1547321275,92,-28.55,16.43,65.37,3.38
Rampura,0,IN,1547321275,100,24.47,75.44,55.74,3.6
Tsumeb,0,NA,1547321275,20,-19.25,17.72,85.17,9.98
Osa,88,RU,1547320957,87,57.28,55.46,22.8,9.98
Qianan,0,CN,1547321276,59,44.99,124.06,5.48,3.15
Sampit,56,ID,1547321276,95,-2.54,112.95,75.9,2.82
Bathsheba,20,BB,1547316000,58,13.22,-59.52,82.4,16.11
Boyolangu,76,ID,1547321277,99,-8.09,111.9,71.54,2.59
Campina Verde,12,BR,1547321277,78,-19.54,-49.49,87.38,5.61
Muyezerskiy,76,RU,1547321277,76,63.93,31.65,28.52,8.75
San Cristobal,40,EC,1547316000,46,-0.39,-78.55,71.6,12.75
Gander,75,CA,1547320500,73,48.95,-54.61,24.8,12.75
Innisfail,75,CA,1547319600,79,52.02,-113.95,24.8,2.24
Cherkessk,76,RU,1547321278,86,44.23,42.06,27.12,2.71
Semey,8,KZ,1547321279,58,50.41,80.25,-6.23,5.95
Baudh,0,IN,1547321279,81,20.84,84.32,53.76,2.37
Ullapool,92,GB,1547321279,96,57.9,-5.16,48.09,24.74
Port Lincoln,20,AU,1547321022,98,-34.72,135.86,62.9,13.22
Zdvinsk,64,RU,1547321280,74,54.7,78.67,0.8,8.97
Forbes,0,AU,1547321280,72,-33.38,148.01,66.95,3.83
Arlit,68,NE,1547319696,45,18.74,7.39,63.98,5.17
Port Hawkesbury,90,CA,1547319600,61,45.62,-61.36,15.8,11.41
Palauig,0,PH,1547321281,100,15.44,119.9,69.74,3.71
Te Anau,80,NZ,1547320960,60,-45.41,167.72,47.37,6.96
Brokopondo,20,SR,1547319600,55,5.06,-54.98,86.0,12.75
Galle,1,US,1547319360,50,29.74,-97.91,66.2,19.46
Guerrero Negro,48,MX,1547319069,90,27.97,-114.04,58.62,3.94
Paamiut,88,GL,1547321282,91,61.99,-49.67,33.83,22.84
Yar-Sale,88,RU,1547321283,85,66.83,70.83,2.69,21.27
Surt,92,LY,1547321283,100,31.21,16.59,53.45,29.1
Sadiqabad,8,PK,1547321283,90,28.31,70.13,51.6,2.93
Bitung,40,ID,1547319600,100,1.44,125.19,75.2,2.24
Clarence Town,0,AU,1547319600,93,-32.59,151.78,64.4,1.48
Nouadhibou,0,MR,1547316000,8,20.93,-17.03,80.6,4.7
Saint-Francois,90,FR,1547319600,93,46.42,3.91,41.0,6.93
Calvillo,40,MX,1547319480,52,21.85,-102.72,64.4,6.93
Rocha,36,UY,1547321285,62,-34.48,-54.34,78.87,11.21
Morehead,90,US,1547320500,80,38.18,-83.43,35.6,5.82
Gizo,0,IL,1547319000,76,31.8,34.94,55.4,5.82
Benguela,0,AO,1547321050,96,-12.58,13.4,78.92,7.52
Brae,92,GB,1547319000,87,60.4,-1.35,46.4,13.87
Adeje,20,NG,1547321287,54,5.68,5.76,88.73,2.71
Airai,20,TL,1547319766,87,-8.93,125.41,68.3,1.92
Nizhniy Baskunchak,0,RU,1547321287,85,48.22,46.83,25.19,11.32
Rio Grande,75,BR,1547319600,94,-32.03,-52.1,71.6,11.41
Dalvik,75,SE,1547319000,100,57.79,14.13,28.4,2.71
Puerto Cabezas,40,NI,1547319600,74,14.04,-83.39,84.2,4.7
Edgewater,75,US,1547319960,49,28.99,-80.9,75.92,10.29
